parlamentarier,parlamentarier_id,partei,fraktion,kanton,geschlecht,interessenbindung_id,deklariert,art,funktion,wirksamkeit,seit,bezahlt,verguetung,organisation,uid,branche,lobbygruppe,rechtsform
Ada Marra,3923,SP,S,VD,F,13185,ja,vorstand,praesident,tief,2022-01-01,nein,,Association vaudoise pour la sauvegarde des logements des personnes précarisées,,Soziale Sicherheit,Gemeinwohl/Gesellschaft,Verein
Ada Marra,3923,SP,S,VD,F,7111,ja,beirat,mitglied,tief,,nein,,Fondation Marie-Eléonore d'Olcah,CHE-443.938.715,Kultur,Kulturinstitutionen,Stiftung
Ada Marra,3923,SP,S,VD,F,7161,ja,vorstand,praesident,mittel,,nein,,Nationale Plattform zu den Sans-Papiers,,Soziale Sicherheit,Gemeinwohl/Gesellschaft,Informelle Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,8668,ja,vorstand,praesident,tief,2020-06-09,nein,,Berufsbildung,,Bildung,Bildungsförderung,Parlamentarische Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,11502,ja,beirat,mitglied,tief,2020-12-25,nein,,EasyVrac,,Umwelt,Umwelt & Natur,GmbH
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,11394,ja,vorstand,praesident,tief,2020-01-01,ja,12000,Schweizer Wanderwege,CHE-107.142.860,Wirtschaft,Tourismus/Gastronomie,Verein
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,11057,ja,beirat,,tief,2020-09-27,nein,,"B Lab (Suisse), en liquidation",CHE-144.449.831,Wirtschaft,Consulting/PR,Verein
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12133,ja,beirat,,tief,2021-09-03,ja,,IMD Business School,,Bildung,Bildung/Wissenschaft,Einzelunternehmen
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,502,ja,vorstand,praesident,hoch,,nein,,Biodiversität und Artenschutz,,Umwelt,Umwelt & Natur,Parlamentarische Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,8275,ja,beirat,mitglied,mittel,,nein,,Vereinigung Schweizerischer Stadtgärtnereien und Gartenbauämter (VSSG),CHE-402.445.125,Umwelt,Raumplanung,Verein
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12132,ja,beirat,mitglied,tief,2021-09-03,nein,,Energy Living Lab,CHE-321.112.675,Energie,Alternativenergie,Verein
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,5137,ja,vorstand,praesident,tief,,nein,,Aktive Mobilität,,Verkehr,Langsamverkehr,Parlamentarische Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12318,ja,taetig,,tief,2021-11-02,ja,,sanu Future Learning AG,CHE-421.061.771,Bildung,Bildung/Wissenschaft,AG
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12130,ja,vorstand,mitglied,tief,2021-09-03,ja,2000,SWISS CENTER FOR DESIGN AND HEALTH (SCDH) AG,CHE-312.091.330,Gesundheit,Medizinaltechniken,AG
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,7154,ja,beirat,mitglied,mittel,,nein,,Fondation The Ark,CHE-110.614.799,Staatspolitik/Staatswirtschaft,Kantone/Regionen,Stiftung
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12138,ja,vorstand,praesident,tief,2021-09-06,,,Nachhaltigkeitsziele 2030,,Umwelt,Umwelt allgemein,Parlamentarische Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,7153,ja,beirat,mitglied,tief,,nein,,EthiX - Lab für Innovationsethik,CHE-285.035.404,Wirtschaft,Think Tanks,Verein
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,12067,ja,vorstand,praesident,tief,2021-07-05,nein,,Kreislaufwirtschaft,,Umwelt,Umwelt allgemein,Parlamentarische Gruppe
Adèle Thorens Goumaz,3907,Grüne,G,VD,F,5269,ja,beirat,mitglied,mittel,,nein,,Plateforme Romande de l'accueil de l'Enfance,,Soziale Sicherheit,Kinder/Jugend,Verein
