id,vorname,nachname,partei,fraktion,kanton,geschlecht
4,Marina,Carobbio Guscetti,SP,S,TI,F
6,Thomas,de Courten,SVP,V,BL,M
11,Lorenz,Hess,M,M-E,BE,M
12,Ruth,Humbel,M,M-E,AG,F
14,Christian,Lohr,M,M-E,TG,M
21,Daniela,Schneeberger,FDP,RL,BL,F
34,Alex,Kuprecht,SVP,V,SZ,M
36,Paul,Rechsteiner,SP,S,SG,M
38,Hans,Stöckli,SP,S,BE,M
39,Andreas,Aebi,SVP,V,BE,M
40,Matthias,Aebischer,SP,S,BE,M
41,Thomas,Aeschi,SVP,V,ZG,M
44,Céline,Amaudruz,SVP,V,GE,F
49,Jacqueline,Badran,SP,S,ZH,F
51,Martin,Bäumle,GLP,GL,ZH,M
53,Kathrin,Bertschy,GLP,GL,BE,F
55,Prisca,Birrer-Heimo,SP,S,LU,F
57,Jacques,Bourgeois,FDP,RL,FR,M
60,Roland,Büchel,SVP,V,SG,M
63,Christine,Bulliard-Marbach,M,M-E,FR,F
65,Martin,Candinas,M,M-E,GR,M
66,Andrea,Caroni,FDP,RL,AR,M
75,Yvette,Estermann,SVP,V,LU,F
76,Daniel,Fässler,M,M-E,AI,M
79,Olivier,Feller,FDP,RL,VD,M
80,Yvonne,Feri,SP,S,AG,F
81,Doris,Fiala,FDP,RL,ZH,F
82,Roland,Fischer,GLP,GL,LU,M
83,Beat,Flach,GLP,GL,AG,M
85,Kurt,Fluri,FDP,RL,SO,M
86,Olivier,Français,FDP,RL,VD,M
88,Pierre-Alain,Fridez,SP,S,JU,M
89,Claudia,Friedl,SP,S,SG,F
93,Andrea,Geissbühler,SVP,V,BE,F
96,Bastien,Girod,Grüne,G,ZH,M
97,Ida,Glanzmann-Hunkeler,M,M-E,LU,F
98,Balthasar,Glättli,Grüne,G,ZH,M
99,Alois,Gmür,M,M-E,SZ,M
101,Petra,Gössi,FDP,RL,SZ,F
102,Maya,Graf,Grüne,G,BL,F
103,Edith,Graf-Litscher,SP,S,TG,F
104,Jean-Pierre,Grin,SVP,V,VD,M
106,Jürg,Grossen,GLP,GL,BE,M
108,Jean-Paul,Gschwind,M,M-E,JU,M
110,Barbara,Gysi,SP,S,SG,F
116,Alfred,Heer,SVP,V,ZH,M
117,Verena,Herzog,SVP,V,TG,F
120,Thomas,Hurter,SVP,V,SH,M
125,Daniel,Jositsch,SP,S,ZH,M
127,Peter,Keller,SVP,V,NW,M
131,Hansjörg,Knecht,SVP,V,AG,M
132,Martin,Landolt,M,M-E,GL,M
137,Christian,Lüscher,FDP,RL,GE,M
142,Christa,Markwalder,FDP,RL,BE,F
143,Ada,Marra,SP,S,VD,F
144,Nadine,Masshardt,SP,S,BE,F
147,Tiana Angelina,Moser,GLP,GL,ZH,F
149,Leo,Müller,M,M-E,LU,M
153,Stefan,Müller-Altermatt,M,M-E,SO,M
154,Martina,Munz,SP,S,SH,F
158,Yves,Nidegger,SVP,V,GE,M
159,Roger,Nordmann,SP,S,VD,M
160,Ruedi,Noser,FDP,RL,ZH,M
161,Eric,Nussbaumer,SP,S,BL,M
166,Gerhard,Pfister,M,M-E,ZG,M
167,Nadja,Umbricht Pieren,SVP,V,BE,F
168,Valérie,Piller Carrard,SP,S,FR,F
170,Lorenzo,Quadri,Lega,V,TI,M
